date,action,ticker,execution_price,market_price,quantity,quantity_signed,cash_balance,position_value,total_value
2025-02-10,SELL,LQDT,1.60,1.60,1443168.58,-1443168.58,2306881.79,0.00,2306881.79
2025-02-10,BUY,OBLG,153.10,153.10,15067.66,15067.66,0.00,2306858.60,2306858.60
2025-02-12,SELL,OBLG,153.62,153.62,15067.66,-15067.66,2314670.52,0.00,2314670.52
2025-02-12,BUY,LQDT,1.60,1.60,1446202.60,1446202.60,0.00,2314647.26,2314647.26
2025-06-13,SELL,LQDT,1.72,1.72,1446202.60,-1446202.60,2481369.48,0.00,2481369.48
2025-06-13,BUY,OBLG,170.20,170.20,14578.99,14578.99,0.00,2481344.54,2481344.54
2025-07-14,SELL,OBLG,174.90,174.90,14578.99,-14578.99,2549840.18,0.00,2549840.18
2025-07-14,BUY,LQDT,1.74,1.74,1462636.70,1462636.70,0.00,2549814.56,2549814.56
2025-07-15,SELL,LQDT,1.74,1.74,1462636.70,-1462636.70,2550959.03,0.00,2550959.03
2025-07-15,BUY,OBLG,175.54,175.54,14531.92,14531.92,0.00,2550933.39,2550933.39
2025-08-07,SELL,OBLG,180.58,180.58,14531.92,-14531.92,2624147.90,0.00,2624147.90
2025-08-07,BUY,LQDT,1.76,1.76,1487259.99,1487259.99,0.00,2624121.53,2624121.53
2025-08-08,SELL,LQDT,1.77,1.77,1487259.99,-1487259.99,2627813.27,0.00,2627813.27
2025-08-08,BUY,OBLG,180.70,180.70,14542.26,14542.26,0.00,2627786.86,2627786.86
2025-08-11,SELL,OBLG,181.06,181.06,14542.26,-14542.26,2632995.61,0.00,2632995.61
2025-08-11,BUY,LQDT,1.77,1.77,1489572.95,1489572.95,0.00,2632969.15,2632969.15
2025-08-21,SELL,LQDT,1.78,1.78,1489572.95,-1489572.95,2646199.76,0.00,2646199.76
